evaluation_batch,evaluation_total_reward,initial_theta,initial_theta_dot,step,state_cos_theta,state_sin_theta,state_theta_dot,theta_wrapped,theta_unwrapped,theta_dot,action,torque,reward,next_state_cos_theta,next_state_sin_theta,next_state_theta_dot,next_theta_wrapped,next_theta_unwrapped,next_theta_dot,terminated,truncated
0,1281.2113398864153,3.141592653589793,0.0,0,-1.0,1.2246468525851679e-16,0.0,-3.141592653589793,3.141592653589793,0.0,1,-0.5,-1.9984171875164791,-0.9999929666519165,0.003749991301447153,-0.07500000298023224,3.137842653589793,3.137842653589793,-0.07499999999999991,0,0
0,1281.2113398864153,3.141592653589793,0.0,1,-0.9999929666519165,0.003749991301447153,-0.07500000298023224,3.137842653589793,3.137842653589793,-0.07499999999999991,0,-2.0,-1.9955806268988314,-0.999750018119812,0.022357512265443802,-0.3721874952316284,3.1192332782602037,3.1192332782602032,-0.37218750659179195,0,0
0,1281.2113398864153,3.141592653589793,0.0,2,-0.999750018119812,0.022357512265443802,-0.3721874952316284,3.1192332782602037,3.1192332782602032,-0.37218750659179195,0,-2.0,-1.9888716761324021,-0.9984807372093201,0.05510242283344269,-0.6554193496704102,3.0864623096423234,3.086462309642324,-0.6554193723575882,0,0
0,1281.2113398864153,3.141592653589793,0.0,3,-0.9984807372093201,0.05510242283344269,-0.6554193496704102,3.0864623096423234,3.086462309642324,-0.6554193723575882,0,-2.0,-1.979344258820253,-0.9949204325675964,0.1006641834974289,-0.9140925407409668,3.0407576818273814,3.040757681827382,-0.9140925562988409,0,0
0,1281.2113398864153,3.141592653589793,0.0,4,-0.9949204325675964,0.1006641834974289,-0.9140925407409668,3.0407576818273814,3.040757681827382,-0.9140925562988409,0,-2.0,-1.9636609957004312,-0.9875809550285339,0.1571110486984253,-1.138594388961792,2.9838279608423512,2.983827960842351,-1.1385944197006208,0,0
0,1281.2113398864153,3.141592653589793,0.0,5,-0.9875809550285339,0.1571110486984253,-1.138594388961792,2.9838279608423512,2.983827960842351,-1.1385944197006208,0,-2.0,-1.938546116645035,-0.9750605225563049,0.22193913161754608,-1.3207610845565796,2.9177899043868614,2.9177899043868614,-1.320761129109785,0,0
0,1281.2113398864153,3.141592653589793,0.0,6,-0.9750605225563049,0.22193913161754608,-1.3207610845565796,2.9177899043868614,2.9177899043868614,-1.320761129109785,0,-2.0,-1.9015117550233769,-0.9563596844673157,0.2921920120716095,-1.4543068408966064,2.8450745652871543,2.8450745652871543,-1.4543067819941387,0,0
0,1281.2113398864153,3.141592653589793,0.0,7,-0.9563596844673157,0.2921920120716095,-1.4543068408966064,2.8450745652871543,2.8450745652871543,-1.4543067819941387,0,-2.0,-1.8514633980868689,-0.9311376214027405,0.36466801166534424,-1.5351628065109253,2.7683164271132332,2.7683164271132332,-1.5351627634784257,0,0
0,1281.2113398864153,3.141592653589793,0.0,8,-0.9311376214027405,0.36466801166534424,-1.5351628065109253,2.7683164271132332,2.7683164271132332,-1.5351627634784257,0,-2.0,-1.789056361819842,-0.8998550176620483,0.43618911504745483,-1.561661720275879,2.6902333389883735,2.6902333389883735,-1.5616617624971965,0,0
0,1281.2113398864153,3.141592653589793,0.0,9,-0.8998550176620483,0.43618911504745483,-1.561661720275879,2.6902333389883735,2.6902333389883735,-1.5616617624971965,0,-2.0,-1.7167313712546424,-0.8637734055519104,0.5038803815841675,-1.534519910812378,2.613507342967674,2.613507342967674,-1.5345199204139872,0,0
