seed,evaluation_batch,initial_theta,initial_theta_dot,step,state_cos_theta,state_sin_theta,state_theta_dot,theta_wrapped,upright,stable_upright,action,torque,reward,evaluation_total_reward
5,0,3.1415927410125732,0.0,0,-0.9999999403953552,-8.742277657347586e-08,0.0,-3.1415925661670117,0,0,6,2.0,-1.997174859046936,1122.18896484375
5,0,3.1415927410125732,0.0,1,-0.9998874664306641,-0.014999628998339176,0.2999999225139618,-3.126592461584158,0,0,6,2.0,-1.9907729625701904,1122.18896484375
5,0,3.1415927410125732,0.0,2,-0.9990127682685852,-0.04442310705780983,0.5887501835823059,-3.0971549209912017,0,0,6,2.0,-1.9823311567306519,1122.18896484375
5,0,3.1415927410125732,0.0,3,-0.9961996674537659,-0.08709880709648132,0.8554328680038452,-3.0543833430929626,0,0,6,2.0,-1.968581199645996,1122.18896484375
5,0,3.1415927410125732,0.0,4,-0.9899752140045166,-0.14124079048633575,1.0901087522506714,-2.9998779873766943,0,0,6,2.0,-1.946131706237793,1122.18896484375
5,0,3.1415927410125732,0.0,5,-0.978872537612915,-0.20447136461734772,1.2841781377792358,-2.935669020293343,0,0,6,2.0,-1.912207841873169,1122.18896484375
5,0,3.1415927410125732,0.0,6,-0.9617528915405273,-0.27391842007637024,1.430824637413025,-2.864127713232024,0,0,6,2.0,-1.8653045892715454,1122.18896484375
5,0,3.1415927410125732,0.0,7,-0.9380856156349182,-0.3464033305644989,1.525385856628418,-2.7878583091393536,0,0,6,2.0,-1.8056198358535767,1122.18896484375
5,0,3.1415927410125732,0.0,8,-0.9081244468688965,-0.4187002182006836,1.565583348274231,-2.70957906125802,0,0,6,2.0,-1.7351722717285156,1122.18896484375
5,0,3.1415927410125732,0.0,9,-0.8729438781738281,-0.4878205955028534,1.5515581369400024,-2.6320012473004115,0,0,6,2.0,-1.6575950384140015,1122.18896484375
5,0,3.1415927410125732,0.0,10,-0.8343322277069092,-0.5512619018554688,1.4856927394866943,-2.557716684586213,0,0,6,2.0,-1.577675461769104,1122.18896484375
5,0,3.1415927410125732,0.0,11,-0.7945753931999207,-0.6071653962135315,1.372246265411377,-2.4891043421967685,0,0,0,-2.0,-1.543330430984497,1122.18896484375
5,0,3.1415927410125732,0.0,12,-0.7754733562469482,-0.6313802003860474,0.6168721914291382,-2.458260864972358,0,0,0,-2.0,-1.5689527988433838,1122.18896484375
5,0,3.1415927410125732,0.0,13,-0.7803952693939209,-0.6252864599227905,-0.15666300058364868,-2.4660940776730773,0,0,0,-2.0,-1.6526854038238525,1122.18896484375
5,0,3.1415927410125732,0.0,14,-0.8084883689880371,-0.5885120630264282,-0.9256278872489929,-2.512375402260047,0,0,0,-2.0,-1.7828201055526733,1122.18896484375
5,0,3.1415927410125732,0.0,15,-0.854677677154541,-0.5191588997840881,-1.6670119762420654,-2.595726079366186,0,0,0,-2.0,-1.9379907846450806,1122.18896484375
5,0,3.1415927410125732,0.0,16,-0.9097779393196106,-0.4150952398777008,-2.3563811779022217,-2.7135451585669617,0,0,0,-2.0,-2.088562488555908,1122.18896484375
5,0,3.1415927410125732,0.0,17,-0.9611486196517944,-0.2760312259197235,-2.967702627182007,-2.8619301929485768,0,0,0,-2.0,-2.2003955841064453,1122.18896484375
5,0,3.1415927410125732,0.0,18,-0.9943950176239014,-0.1057281419634819,-3.4747262001037598,-3.035666529045773,0,0,0,-2.0,-2.1545848846435547,1122.18896484375
5,0,3.1415927410125732,0.0,19,-0.9962373971939087,0.08666611462831497,-3.854022264480591,3.0548176774264655,0,0,0,-2.0,-1.9847605228424072,1122.18896484375
5,0,3.1415927410125732,0.0,20,-0.9578925371170044,0.2871268689632416,-4.089022636413574,2.8503665919736747,0,0,0,-2.0,-1.8291051387786865,1122.18896484375
5,0,3.1415927410125732,0.0,21,-0.8776256442070007,0.4793465733528137,-4.173677444458008,2.6416826068844865,0,0,0,-2.0,-1.5928305387496948,1122.18896484375
5,0,3.1415927410125732,0.0,22,-0.761210560798645,0.6485047340393066,-4.1141676902771,2.4359741515024638,0,0,0,-2.0,-1.300152063369751,1122.18896484375
5,0,3.1415927410125732,0.0,23,-0.6200357675552368,0.784573495388031,-3.9277892112731934,2.239584648246179,0,0,0,-2.0,-0.981101393699646,1122.18896484375
5,0,3.1415927410125732,0.0,24,-0.467818021774292,0.8838247656822205,-3.6393589973449707,2.0576167184314147,0,0,2,-0.1,-0.6764916181564331,1122.18896484375
5,0,3.1415927410125732,0.0,25,-0.33088934421539307,0.9436694979667664,-2.991490364074707,1.9080421993609546,0,0,2,-0.1,-0.4363481402397156,1122.18896484375
5,0,3.1415927410125732,0.0,26,-0.22048230469226837,0.9753909111022949,-2.2987382411956787,1.7931052568747878,0,0,2,-0.1,-0.2709089517593384,1122.18896484375
5,0,3.1415927410125732,0.0,27,-0.14271020889282227,0.9897644519805908,-1.5821950435638428,1.7139954497280816,0,0,4,0.1,-0.18975041806697845,1122.18896484375
5,0,3.1415927410125732,0.0,28,-0.1017790287733078,0.9948070049285889,-0.8248716592788696,1.6727519034536025,0,0,6,2.0,-0.235573872923851,1122.18896484375
5,0,3.1415927410125732,0.0,29,-0.11277680099010468,0.9936203360557556,0.22123360633850098,1.6838135682872106,0,0,4,0.1,-0.35694047808647156,1122.18896484375
5,0,3.1415927410125732,0.0,30,-0.16138090193271637,0.9868921637535095,0.9814488887786865,1.7328860681331464,0,0,6,2.0,-0.6156964898109436,1122.18896484375
5,0,3.1415927410125732,0.0,31,-0.26014330983161926,0.9655699729919434,2.021617889404297,1.8339669581957048,0,0,6,2.0,-0.9801359176635742,1122.18896484375
5,0,3.1415927410125732,0.0,32,-0.4036111831665039,0.9149305820465088,3.045795440673828,1.9862567099878288,0,0,4,0.1,-1.3680033683776855,1122.18896484375
5,0,3.1415927410125732,0.0,33,-0.5669594407081604,0.8237456679344177,3.7469935417175293,2.1736063578221545,0,0,4,0.1,-1.7660771608352661,1122.18896484375
5,0,3.1415927410125732,0.0,34,-0.7323727011680603,0.6809039115905762,4.379802703857422,2.3925964608190915,0,0,1,-0.5,-2.0997474193573,1122.18896484375
5,0,3.1415927410125732,0.0,35,-0.8736109733581543,0.48662492632865906,4.815480709075928,2.633370422652984,0,0,1,-0.5,-2.324899196624756,1122.18896484375
5,0,3.1415927410125732,0.0,36,-0.968178391456604,0.25026100873947144,5.105449199676514,2.8886428165413203,0,0,1,-0.5,-2.3949732780456543,1122.18896484375
5,0,3.1415927410125732,0.0,37,-0.9999682903289795,-0.007957222871482372,5.21814489364624,-3.1336353463425297,0,0,1,-0.5,-2.0660078525543213,1122.18896484375
5,0,3.1415927410125732,0.0,38,-0.9651405811309814,-0.2617318034172058,5.137176990509033,-2.8767765161473506,0,0,6,2.0,-1.8764264583587646,1122.18896484375
5,0,3.1415927410125732,0.0,39,-0.8643901348114014,-0.502821683883667,5.240878105163574,-2.6147325877190912,0,0,6,2.0,-1.556259036064148,1122.18896484375
5,0,3.1415927410125732,0.0,40,-0.7073542475700378,-0.7068591713905334,5.163762092590332,-2.3565445619372762,0,0,6,2.0,-1.1507370471954346,1122.18896484375
