seed,evaluation_batch,initial_theta,initial_theta_dot,step,state_cos_theta,state_sin_theta,state_theta_dot,theta_wrapped,upright,stable_upright,action,torque,reward,evaluation_total_reward
9,0,3.1415927410125732,0.0,0,-0.9999999403953552,-8.742277657347586e-08,0.0,-3.1415925661670117,0,0,5,0.5,-1.9984172582626343,1350.83984375
9,0,3.1415927410125732,0.0,1,-0.9999929070472717,-0.003750164294615388,0.07499993592500687,-3.1378424802759124,0,0,5,0.5,-1.9966636896133423,1350.83984375
9,0,3.1415927410125732,0.0,2,-0.9999382495880127,-0.011109210550785065,0.14718732237815857,-3.1304832140619143,0,0,5,0.5,-1.9948855638504028,1350.83984375
9,0,3.1415927410125732,0.0,3,-0.9997622966766357,-0.02180054597556591,0.21385541558265686,-3.1197903794683928,0,0,5,0.5,-1.9929249286651611,1350.83984375
9,0,3.1415927410125732,0.0,4,-0.9993724822998047,-0.0354200080037117,0.2725050151348114,-3.1061652340682615,0,0,5,0.5,-1.9906073808670044,1350.83984375
9,0,3.1415927410125732,0.0,5,-0.9986754655838013,-0.05145169049501419,0.3209400177001953,-3.090118233888809,0,0,5,0.5,-1.9877867698669434,1350.83984375
9,0,3.1415927410125732,0.0,6,-0.997596800327301,-0.06928642839193344,0.35735124349594116,-3.0722506684055064,0,0,5,0.5,-1.984384536743164,1350.83984375
9,0,3.1415927410125732,0.0,7,-0.9960986375808716,-0.0882464051246643,0.3803864121437073,-3.0532313064270578,0,0,0,-2.0,-1.9957184791564941,1350.83984375
9,0,3.1415927410125732,0.0,8,-0.9960357546806335,-0.08895362913608551,0.014201611280441284,-3.0525212922665443,0,0,0,-2.0,-2.008953094482422,1350.83984375
9,0,3.1415927410125732,0.0,9,-0.9974488019943237,-0.07138501852750778,-0.3525136113166809,-3.07014686568769,0,0,0,-2.0,-2.025330066680908,1350.83984375
9,0,3.1415927410125732,0.0,10,-0.9993468523025513,-0.03613528236746788,-0.7060523629188538,-3.1054495006134517,0,0,0,-2.0,-2.024747371673584,1350.83984375
9,0,3.1415927410125732,0.0,11,-0.9998795986175537,0.015513901598751545,-1.033153772354126,3.126078128775302,0,0,0,-2.0,-1.9817728996276855,1350.83984375
9,0,3.1415927410125732,0.0,12,-0.9966733455657959,0.08149982988834381,-1.3215184211730957,3.060002328805607,0,0,5,0.5,-1.9648579359054565,1350.83984375
